41	3305	0.169
41	4817	0.341
41	16576	0.15
53	9480	0.004
53	19705	0.544
55	11742	0.318
62	2788	0.072
71	14534	0.006
78	1014	0.259
80	10805	0.048
83	1270	0.189
83	6104	0.077
87	865	0.002
87	2176	0.001
87	2178	0.001
87	2179	0.001
87	2180	0.001
87	4777	0.003
87	7027	0.002
87	7226	0.002
87	8155	0.001
87	8801	0.001
87	13641	0.001
87	14748	0.003
87	16677	0.002
95	211	0.001
95	836	0.001
98	2906	0.176
100	765	0.218
104	6181	0.004
104	7547	0.001
104	14881	0.004
112	6298	0.154
117	1890	0.18
136	2788	0.285
162	2921	0.001
162	4013	0.003
162	11110	0.013
163	3491	0.012
163	7111	0.004
175	8204	0.043
179	8958	0.029
179	19733	0.056
184	5145	0.181
190	2443	0.022
190	14908	0.015
192	4071	0.004
192	11156	0.003
197	670	0.002
197	2286	0.001
197	4671	0.004
197	5912	0.003
197	11982	0.004
198	11927	0.005
208	2000	0.003
208	2286	0.001
208	4671	0.005
208	5912	0.003
208	11982	0.005
211	95	0.001
211	413	0.001
211	1421	0.001
211	7518	0.001
211	12009	0.001
211	17060	0.001
211	18911	0.001
211	19532	0.003
214	17551	0.252
221	409	0.003
221	3680	0.006
221	4634	0.001
221	5586	0.001
221	6297	0.003
221	10029	0.005
235	821	0.002
235	1709	0.005
235	2095	0.001
235	3528	0.002
235	4893	0.004
235	6786	0.003
235	7547	0.004
235	9247	0.027
237	409	0.004
237	3356	0.002
237	3680	0.005
237	6297	0.005
237	10029	0.005
237	17340	0.002
250	8670	0.007
250	11805	0.005
250	14205	0.002
250	15204	0.002
261	1229	0.002
268	2655	0.039
268	5740	0.022
272	15955	0.223
306	6067	0.344
310	1037	0.002
310	3797	0.003
310	16361	0.008
317	3720	0.202
317	7079	0.109
341	12224	0.003
349	3445	0.193
349	5007	0.219
349	14264	0.101
360	2649	0.198
360	5566	0.229
361	874	0.578
386	3611	0.411
386	14399	0.319
387	1780	0.245
387	3068	0.52
387	3652	0.725
387	6054	0.018
387	6303	0.237
387	11182	0.018
398	674	0.021
398	7151	0.006
398	17963	0.009
402	1585	0.261
409	221	0.003
409	237	0.004
409	629	0.007
409	667	0.008
409	942	0.002
409	1292	0.001
409	1425	0.005
409	2065	0.002
409	2145	0.001
409	3324	0.005
409	4032	0.001
409	4933	0.001
409	5584	0.001
409	6889	0.005
409	8133	0.008
409	9318	0.003
409	12477	0.002
409	14082	0.002
409	15138	0.003
409	15554	0.002
409	17577	0.003
409	18455	0.002
409	18748	0.004
412	12513	0.244
413	211	0.001
413	836	0.001
413	4518	0.003
413	6424	0.002
413	20030	0.002
432	13679	0.071
438	9121	0.002
440	674	0.183
440	1480	0.003
440	7151	0.019
440	17963	0.076
441	674	0.204
441	1480	0.003
441	7151	0.022
441	17963	0.079
442	3324	0.001
442	18748	0.001
449	6181	0.002
449	11606	0.001
449	14881	0.002
449	18367	0.002
451	2363	0.001
451	5605	0.001
451	12975	0.001
451	17671	0.003
454	4863	0.385
462	607	0.191
462	1564	0.191
462	12676	0.631
464	2226	0.261
470	674	0.181
470	1480	0.004
470	7151	0.024
470	17963	0.071
493	1717	0.006
493	1875	0.002
493	2013	0.005
493	2677	0.166
493	5057	0.001
493	7331	0.003
493	7862	0.005
493	8880	0.252
493	10007	0.003
493	11288	0.003
493	11582	0.003
493	12254	0.002
493	12976	0.001
493	14222	0.244
493	16903	0.011
493	17904	0.003
501	849	0.186
501	11497	0.155
505	6180	0.007
505	6463	0.023
505	8101	0.022
505	9690	0.001
505	11114	0.017
505	11772	0.012
505	15586	0.013
505	16401	0.071
506	649	0.18
532	4339	0.014
537	19110	0.311
538	6870	0.002
543	2474	0.115
550	992	0.072
558	6104	0.06
564	8474	0.375
567	1221	0.386
569	2006	0.627
572	9156	0.002
577	4072	0.005
587	17963	0.362
598	18502	0.538
607	462	0.191
609	4383	0.002
610	4383	0.002
612	13376	0.19
629	409	0.007
629	3680	0.021
629	6297	0.009
629	8865	0.001
629	10029	0.019
640	2833	0.138
649	506	0.18
649	1274	0.243
649	4584	0.157
667	409	0.008
667	3680	0.026
667	6297	0.01
667	8865	0.001
667	10029	0.023
670	197	0.002
670	5330	0.002
670	9156	0.002
670	10640	0.002
670	12082	0.002
670	13077	0.002
670	13369	0.002
